record_no,source_row,video_id,task,question_id,question,nif,timestamp
1,2,90c3f31b-3b44-4b9a-a684-cef313a45c32,,,,2,35;78
2,3,217fe8d0-dfc8-407b-86be-269378c5259a,,,,2,2;104
3,4,631682a5-5574-41a8-904f-7ee96fc93683,,,,2,2;52
4,5,628e252f-e743-4054-92fd-b0ed6983571d,,,,2,22;91
5,6,51688142-10e7-48ab-adef-2caa5448b456,,,,1,180
6,7,45e313dd-9b30-444e-9577-b15a21cb59b4,,,,4,10;31;66;91
7,8,86de4235-953e-458f-a951-40314e92a33b,,,,1,83
8,9,aebf3455-59b7-4071-a7d2-18d053c38f8f,,,,1,1
9,10,dfb6c468-e124-40f6-9c4e-c13ee45a2ad9,,,,1,76
10,11,d0bbd7fa-2a15-4c25-ab06-adc7d04bce7b,,,,3,9;19;64
11,12,e48b8359-d35e-45f1-aa3b-eb1417e10dc8,,,,3,11;12;29
12,13,97dc6bb7-7eed-45f7-bdb0-269ab8c2f639,,,,4,1;60;71;99
13,14,81ba0fd6-cc69-410d-9e2d-8317fd22cce8,,,,3,12;37;60
14,15,b5d7c421-2b86-4ed0-b314-ce810c778c47,,,,1,7
15,16,2b8d1e50-3ba7-492a-8a0b-104eb659c27b,,,,2,110;170
16,17,4b7495f1-e2c2-4d69-bbf4-c2dabeb5e634,,,,2,13;104
17,18,0d173aa3-9a94-4ba4-84bc-949d3254a63d,,,,4,41;45;48;134
18,19,cd882b7a-0766-4582-8388-3990b009b11b,,,,4,3;23;101;131
19,20,4070a4e2-14d5-4618-9889-dd18a416e2b5,,,,2,4;148
20,21,68e0bb20-414d-42ef-a0a0-e821efbe8e06,,,,4,20;22;37;106
21,22,9796f529-40ca-4e74-89ed-6a25efb24c8c,,,,3,76;78;79
22,23,223164c8-abed-4f1a-8f7c-4088c89d3ece,,,,1,26
23,24,97f80e1c-164d-4072-8ee9-980e366eec6c,,,,2,0;28
24,25,ece69b04-2e67-434a-b923-1329feed590d,,,,2,5;31
25,26,e00836f3-1506-4479-a028-e17f19cff0bf,,,,1,79
26,27,94f6e8bd-b65d-4fd0-b2a9-75b69397fe2e,,,,2,16;31
27,28,e04cd624-17e1-4986-b344-55aa92d7c0c3,,,,1,50
28,29,5782e464-db9e-4bee-88f7-6c2f6727854b,,,,2,9;15
29,30,86cb525a-d61c-46f1-9c5f-cc7284184900,,,,3,85;136;156
30,31,b3aaaea6-e6f6-499f-8b03-ddf85b3f62c4,,,,1,12
31,32,22b86648-340c-4338-b46e-5eaba3a44b06,,,,2,106;119
32,33,cc3abb84-1317-4718-b414-75f899c20ee3,,,,2,12;30
33,34,e67de76c-1058-49a7-a47e-12736da4ffc0,,,,2,0;27
34,35,f95e7f60-0f9a-40e7-bb60-55ecb287b2dc,,,,2,20;22
35,36,1bf1fdea-6f44-4d3a-b5c0-6852aaada71b,,,,2,35;36
36,37,9d83c60a-5d84-4bea-8325-56beed585df2,,,,1,34
37,38,0e4804e0-85fa-48bc-ada3-a94167b06e53,,,,1,4
38,39,6f42ba6a-cb2a-428f-bffb-7a15abd94727,,,,3,9;22;114
39,40,04c51dba-1dcb-4b8f-a62c-efc363561d7b,,,,1,31
40,41,ee227b56-c12b-4725-89e9-aa29e0b4dbe8,,,,1,14
41,42,803c8ecf-9448-48b6-8bf2-debd052dbe43,,,,1,8
42,43,1bd933df-3575-4fa7-839f-765c7108259e,,,,2,20;106
43,44,c04da37a-b98f-4796-afe2-1b7d3af20911,,,,6,104;110;117;124;129;160
44,45,9748f410-2316-4a2f-9893-56f8f240dc67,,,,3,34;88;152
45,46,0f181d98-5036-4990-b397-62e934e168ef,,,,3,2;12;21
