record_no,source_row,video_id,task,question_id,question,nif,timestamp
1,2,40BlVzjxu-I,,006-1,,1,100
2,3,40BlVzjxu-I,,006-2,,3,1;73;90
3,4,40BlVzjxu-I,,006-3,,2,0;1
4,5,Qyg_91gNHCc,,051-1,,3,6;73;78
5,6,Qyg_91gNHCc,,051-2,,2,26;108
6,7,Qyg_91gNHCc,,051-3,,1,75
7,8,HvjgQqNOq9A,,074-1,,4,54;69;79;88
8,9,HvjgQqNOq9A,,074-2,,1,9
9,10,HvjgQqNOq9A,,074-3,,1,1
10,11,nYLMNQ77FjM,,052-1,,1,28
11,12,nYLMNQ77FjM,,052-2,,1,42
12,13,nYLMNQ77FjM,,052-3,,1,78
13,14,WViSvPFUVd8,,079-1,,2,0;1
14,15,WViSvPFUVd8,,079-2,,1,39
15,16,WViSvPFUVd8,,079-3,,6,8;12;18;28;45;50
16,17,DI6SemRT2iY,,357-1,,1,29
17,18,DI6SemRT2iY,,357-2,,1,73
18,19,DI6SemRT2iY,,357-3,,1,270
19,20,kSBB5PsRV-k,,303-1,,2,91;96
20,21,kSBB5PsRV-k,,303-2,,3,86;170;251
21,22,kSBB5PsRV-k,,303-3,,3,86;170;251
22,23,8l1NyR6UvxU,,307-1,,2,40;45
23,24,8l1NyR6UvxU,,307-2,,2,41;79
24,25,8l1NyR6UvxU,,307-3,,1,224
25,26,t61Wl2HVwFo,,388-1,,9,9;12;16;26;34;40;45;56;60
26,27,t61Wl2HVwFo,,388-2,,1,336
27,28,t61Wl2HVwFo,,388-3,,1,579
28,29,IaTaaNinolU,,316-1,,1,12
29,30,IaTaaNinolU,,316-2,,2,269;280
30,31,IaTaaNinolU,,316-3,,1,301
31,32,j0J-favyUeQ,,688-1,,4,61;916;1422;2861
32,33,j0J-favyUeQ,,688-2,,3,924;1821;2854
33,34,j0J-favyUeQ,,688-3,,3,731;1422;2226
34,35,zxKPjD8urG4,,607-1,,3,103;209;1379
35,36,zxKPjD8urG4,,607-2,,1,780
36,37,zxKPjD8urG4,,607-3,,2,1643;1646
37,38,FQd5bo9nIZs,,632-1,,3,98;419;1175
38,39,FQd5bo9nIZs,,632-2,,2,150;199
39,40,FQd5bo9nIZs,,632-3,,1,1175
40,41,9bbWYVrQgZ8,,636-1,,5,103;158;337;538;1755
41,42,9bbWYVrQgZ8,,636-2,,4,1452;1453;1454;1455
42,43,9bbWYVrQgZ8,,636-3,,6,18;887;1022;1656;1745;2054
43,44,y2kg3MOk1sY,,680-1,,5,326;739;825;1706;2281
44,45,y2kg3MOk1sY,,680-2,,4,327;741;2149;2826
45,46,y2kg3MOk1sY,,680-3,,2,1451;1452
46,47,tGdL-34L-GE,,118-1,,1,52
47,48,tGdL-34L-GE,,118-2,,1,40
48,49,tGdL-34L-GE,,118-3,,1,33
49,50,43wqf_KhiUo,,121-1,,8,43;44;45;46;47;48;49;50
50,51,43wqf_KhiUo,,121-2,,1,1
51,53,43wqf_KhiUo,,121-3,,6,18;19;20;21;22;23
52,54,y6ReUXtm_VE,,126-1,,2,3;18
53,55,y6ReUXtm_VE,,126-2,,1,4
54,56,y6ReUXtm_VE,,126-3,,1,21
55,57,drbi6HK1gSc,,093-1,,4,3;7;11;21
56,58,drbi6HK1gSc,,093-2,,1,16
57,59,drbi6HK1gSc,,093-3,,1,76
58,60,PU-XOFIJMlg,,098-1,,3,11;17;27
59,61,PU-XOFIJMlg,,098-2,,1,91;96
60,62,PU-XOFIJMlg,,098-3,,1,11
61,63,xr_nln2ZQw8,,412-1,,2,240;243
62,64,xr_nln2ZQw8,,412-2,,3,37;159;260
63,65,xr_nln2ZQw8,,412-3,,6,63;90;326;573;649;717
64,66,-XpJeDGh8No,,395-1,,2,124;131
65,67,-XpJeDGh8No,,395-2,,4,270;338;358;413
66,68,-XpJeDGh8No,,395-3,,3,565;586;598
67,69,V6ui161NyTg,,394-1,,3,10;53;127
68,70,V6ui161NyTg,,394-2,,5,145;152;166;170;316
69,71,V6ui161NyTg,,394-3,,4,145;151;160;167
70,72,dTUaWnvIOp4,,427-1,,2,9;33
71,73,dTUaWnvIOp4,,427-2,,3,11;84;90
72,74,dTUaWnvIOp4,,427-3,,1,146
73,75,dcYgBU4t98E,,393-1,,3,41;42;43
74,76,dcYgBU4t98E,,393-2,,1,199
75,77,dcYgBU4t98E,,393-3,,1,32
76,78,p_4UPdFqgIQ,,725-1,,2,627;686
77,79,p_4UPdFqgIQ,,725-2,,2,627;723
78,80,p_4UPdFqgIQ,,725-3,,8,141;313;416;463;627;921;964;1097
79,81,1NH5dJ9VRvU,,730-1,,3,2343;2344;2406
80,82,1NH5dJ9VRvU,,730-2,,3,66;473;1549
81,83,1NH5dJ9VRvU,,730-3,,1,225
82,84,qd2ivr-5oEM,,721-1,,3,775;830;2093
83,85,qd2ivr-5oEM,,721-2,,3,536;594;603
84,86,qd2ivr-5oEM,,721-3,,2,173;1666
85,87,Q8AZ16uBhr8,,697-1,,1,412
86,88,Q8AZ16uBhr8,,697-2,,1,1418
87,89,Q8AZ16uBhr8,,697-3,,1,2851
88,90,xGcfBRkJSWQ,,708-1,,2,1331;1337
89,91,xGcfBRkJSWQ,,708-2,,3,1090;1102;1280
90,92,xGcfBRkJSWQ,,708-3,,3,2357;2461;2592
91,93,rj6rJzs029A,,142-1,,1,3
92,94,rj6rJzs029A,,142-2,,7,17;18;19;20;21;22;23
93,95,rj6rJzs029A,,142-3,,4,16;18;20;22
94,96,zNxi2s36tS0,,163-1,,1,35
95,97,zNxi2s36tS0,,163-2,,1,3
96,98,zNxi2s36tS0,,163-3,,1,40
97,99,PJHkIJZGwKA,,143-1,,2,10;15
98,100,PJHkIJZGwKA,,143-2,,4,21;22;23;25
99,101,PJHkIJZGwKA,,143-3,,1,4
100,102,ya2IXAREZho,,155-1,,5,1;5;6;32;74
101,104,ya2IXAREZho,,155-2,,3,26;29;75
102,105,ya2IXAREZho,,155-3,,4,14;39;63;88
103,106,fkJv7LRa6Pc,,179-1,,2,4;22
